lane	timestamp	cmd	outcome	elapsed_s
issue-216-217-resolver-gaps	2026-05-03T23:28:53-04:00	tier1	OK	262
issue-216-217-resolver-gaps	2026-05-03T23:29:50-04:00	tier1-asan	OK	51
issue-216-217-resolver-gaps	2026-05-03T23:30:18-04:00	selfhost	OK	19
issue-216-217-resolver-gaps	2026-05-03T23:30:23-04:00	selfhost-llvm	OK	0
issue-216-217-resolver-gaps	2026-05-03T23:30:59-04:00	selfhost-llvm	OK	-
issue-216-217-resolver-gaps	2026-05-03T23:37:20-04:00	tier1	OK	226
issue-216-217-resolver-gaps	2026-05-03T23:44:21-04:00	tier1+asan+selfhost	OK	337
issue-227-list-aliases-cleanup	2026-05-04T08:38:23-04:00	tier0	OK	39
issue-227-list-aliases-cleanup	2026-05-04T08:43:38-04:00	tier1	OK	269
issue-227-list-aliases-cleanup	2026-05-04T08:43:47-04:00	test-stdlib-core-intrinsic	OK	3
issue-227-list-aliases-cleanup	2026-05-04T08:44:38-04:00	tier1-asan	OK	49
issue-227-list-aliases-cleanup	2026-05-04T08:45:01-04:00	selfhost	OK	17
issue-227-list-aliases-cleanup	2026-05-04T08:45:41-04:00	selfhost-llvm	OK	25
issue-233-kai-auto-path	2026-05-04T12:49:45-04:00	tier0	OK	49
issue-233-kai-auto-path	2026-05-04T12:52:53-04:00	tier1	FAIL	181
issue-237-cwd-relative-fix	2026-05-04T15:07:26-04:00	tier0	OK	47
issue-237-cwd-relative-fix	2026-05-04T15:14:37-04:00	tier1	OK	423
issue-237-cwd-relative-fix	2026-05-04T15:15:31-04:00	tier1-asan	OK	44
issue-237-cwd-relative-fix	2026-05-04T15:17:25-04:00	tier1-asan-rerun	OK	-
issue-237-cwd-relative-fix	2026-05-04T15:17:50-04:00	selfhost	OK	19
issue-237-cwd-relative-fix	2026-05-04T15:18:27-04:00	selfhost-llvm	OK	27
issue-237-cwd-relative-fix	2026-05-04T15:19:00-04:00	selfhost-llvm	OK	26
issue-237-stdlib-preludes-qualified	2026-05-04T14:25:29-04:00	tier0	OK	49	selfhost byte-identical, demos baseline holds
issue-237-stdlib-preludes-qualified	2026-05-04T14:28:43-04:00	tier1	FLAKE	186	test-effects SIGTERM (preexistent macOS sigharness flake; unrelated to fix)
issue-237-stdlib-preludes-qualified	2026-05-04T14:35:04-04:00	test-stdlib-core-intrinsic	OK	7	all 6 core modules pass
issue-237-stdlib-preludes-qualified	2026-05-04T14:35:51-04:00	selfhost-llvm	OK	27	llvm fixed point byte-identical
issue-237-stdlib-preludes-qualified	2026-05-04T14:36:30-04:00	tier1-asan	FLAKE	31	test-signal-trap-asan SIGTERM (same flake)
issue-237-stdlib-preludes-qualified	2026-05-04T14:40:00-04:00	tier1-retry	FLAKE	147	same flake reproduces
issue-243-stdlib-bare-name-fix	2026-05-04T19:29:18-04:00	tier0	OK	45
issue-243-stdlib-bare-name-fix	2026-05-04T19:34:20-04:00	tier1	OK	292
issue-243-stdlib-bare-name-fix	2026-05-04T19:38:10-04:00	tier1-asan	OK	53
issue-243-stdlib-bare-name-fix	2026-05-04T19:38:18-04:00	selfhost-llvm-from-root	NOTARGET	0
issue-243-stdlib-bare-name-fix	2026-05-04T19:38:23-04:00	test-stdlib-core-intrinsic	OK	3
issue-243-stdlib-bare-name-fix	2026-05-04T19:39:05-04:00	selfhost	OK	30
issue-243-stdlib-bare-name-fix	2026-05-04T19:39:48-04:00	selfhost-llvm	OK	41
m12.8-cleanup	2026-04-26T20:04:14-04:00	all	OK	-
m12.8-cleanup	2026-04-26T20:04:30-04:00	selfhost	OK	-
m12.8-cleanup	2026-04-26T20:04:48-04:00	selfhost-llvm	OK	-
m12.8-cleanup	2026-04-26T20:06:23-04:00	test	OK	-
m12.8	2026-04-26T17:03:07-04:00	all	OK	-
m12.8	2026-04-26T17:06:51-04:00	all	OK	-
m12.8	2026-04-26T17:16:47-04:00	selfhost	OK	-
m12.8	2026-04-26T17:21:55-04:00	test	OK	-
m12.8	2026-04-26T17:22:12-04:00	selfhost-llvm	OK	-
m12.8	2026-04-26T17:42:10-04:00	selfhost	OK	-
m12.8	2026-04-26T17:42:22-04:00	selfhost-llvm	OK	-
m12.8	2026-04-26T17:45:02-04:00	selfhost	OK	-
m12.8	2026-04-26T17:45:02-04:00	selfhost-llvm	OK	-
m12.8	2026-04-26T17:49:48-04:00	selfhost	OK	-
m12.8	2026-04-26T17:49:48-04:00	selfhost-llvm	OK	-
m12.8	2026-04-26T17:59:15-04:00	test	OK	-
m12.8	2026-04-26T17:59:15-04:00	selfhost	OK	-
m12.8	2026-04-26T17:59:15-04:00	selfhost-llvm	OK	-
m12.8.x	2026-04-26T20:43:29-04:00	make all	OK	6
m12.8.x	2026-04-26T20:49:02-04:00	make test	OK	88
m12.8.x	2026-04-26T20:49:17-04:00	make selfhost	OK	8
m12.8.x	2026-04-26T20:49:32-04:00	make selfhost-llvm	OK	8
